,GMIS.Region,Old.Region,GMIS.Division,Division,Position,Total.Filled,Total.Unfilled,Total.Authorized,Filling.Up.Rate
103,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Special Education Teacher I,2,0,2,100
104,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Special Education Teacher III,1,0,1,100
105,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Special Science Teacher I,4,0,4,100
106,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Teacher I,545,6,551,98.91
107,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Teacher II,331,6,337,98.22
108,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Teacher III,1628,6,1634,99.63
109,Cordillera Administrative Region (CAR),CAR,Division of Abra,Abra,Watchman I,1,0,1,100
110,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Accountant III,1,0,1,100
111,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Aide I,6,0,6,100
112,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Aide III,2,0,2,100
113,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Aide IV,1,0,1,100
114,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Aide VI,7,1,8,87.5
115,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Assistant I,1,0,1,100
116,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Assistant II,44,4,48,91.67
117,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Assistant III,47,1,48,97.92
118,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Officer I,4,0,4,100
119,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Officer II,113,1,114,99.12
120,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Officer IV,4,0,4,100
121,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Administrative Officer V,2,0,2,100
122,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Assistant Schools Division Superintendent,1,0,1,100
123,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Attorney III,1,0,1,100
124,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Chief Education Supervisor,2,0,2,100
125,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Dentist II,2,0,2,100
126,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Education Program Specialist II,5,0,5,100
127,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Education Program Supervisor,11,0,11,100
128,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Engineer III,1,0,1,100
129,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Farm Worker I,2,0,2,100
130,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Guidance Counselor III,1,0,1,100
131,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Head Teacher I,19,4,23,82.61
132,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Head Teacher II,2,0,2,100
133,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Head Teacher III,33,1,34,97.06
134,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Head Teacher VI,1,0,1,100
135,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Information Technology Officer I,1,0,1,100
136,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Librarian II,1,0,1,100
137,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Master Teacher I,97,1,98,98.98
138,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Master Teacher II,26,0,26,100
139,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Master Teacher III,1,0,1,100
140,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Medical Officer III,1,0,1,100
141,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Nurse II,17,0,17,100
142,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Planning Officer III,1,0,1,100
143,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Project Development Officer I,8,0,8,100
144,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Project Development Officer II,2,0,2,100
145,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Public Schools District Supervisor,10,0,10,100
146,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,School Principal I,32,1,33,96.97
147,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,School Principal II,12,2,14,85.71
148,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,School Principal III,4,0,4,100
149,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Schools Division Superintendent,1,0,1,100
150,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Security Guard I,7,0,7,100
151,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Senior Education Program Specialist,4,0,4,100
152,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Special Education Teacher I,4,4,8,50
153,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Special Science Teacher I,3,0,3,100
154,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Teacher I,431,2,433,99.54
155,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Teacher II,192,4,196,97.96
156,Cordillera Administrative Region (CAR),CAR,Division of Apayao,Apayao,Teacher III,859,10,869,98.85
157,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Accountant III,1,0,1,100
158,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Aide I,23,0,23,100
159,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Aide III,4,1,5,80
160,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Aide IV,6,0,6,100
161,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Aide VI,9,0,9,100
162,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Assistant I,1,0,1,100
163,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Assistant II,27,2,29,93.1
164,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Assistant III,28,1,29,96.55
165,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Officer I,4,0,4,100
166,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Officer II,47,1,48,97.92
167,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Officer III,3,0,3,100
168,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Officer IV,6,0,6,100
169,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Administrative Officer V,2,0,2,100
170,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Assistant School Principal II,3,0,3,100
171,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Assistant Schools Division Superintendent,1,0,1,100
172,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Attorney III,1,0,1,100
173,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Chief Education Supervisor,2,0,2,100
174,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Dental Aide,3,0,3,100
175,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Dentist I,1,0,1,100
176,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Dentist II,2,0,2,100
177,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Education Program Specialist II,5,0,5,100
178,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Education Program Supervisor,11,0,11,100
179,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Engineer III,1,0,1,100
180,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Guidance Counselor II,1,5,6,16.67
181,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Guidance Counselor III,7,0,7,100
182,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Head Teacher I,19,1,20,95
183,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Head Teacher II,1,0,1,100
184,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Head Teacher III,11,0,11,100
185,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Head Teacher VI,17,0,17,100
186,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Information Technology Officer I,1,0,1,100
187,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Librarian II,1,0,1,100
188,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Master Teacher I,175,3,178,98.31
189,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Master Teacher II,96,1,97,98.97
190,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Medical Officer III,2,0,2,100
191,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Nurse II,9,0,9,100
192,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Planning Officer III,1,0,1,100
193,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Project Development Officer I,11,0,11,100
194,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Project Development Officer II,2,0,2,100
195,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Public Schools District Supervisor,10,0,10,100
196,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Registrar I,1,0,1,100
197,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,School Librarian II,1,0,1,100
198,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,School Librarian III,1,0,1,100
199,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,School Principal I,28,0,28,100
200,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,School Principal II,14,0,14,100
201,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,School Principal III,5,0,5,100
202,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,School Principal IV,4,0,4,100
203,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Schools Division Superintendent,1,0,1,100
204,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Security Guard I,5,0,5,100
205,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Senior Education Program Specialist,4,0,4,100
206,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Special Education Teacher I,6,1,7,85.71
207,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Special Education Teacher II,7,0,7,100
208,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Special Education Teacher III,21,0,21,100
209,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Special Science Teacher I,12,3,15,80
210,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Teacher I,415,15,430,96.51
211,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Teacher II,291,5,296,98.31
212,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Teacher III,1326,7,1333,99.47
213,Cordillera Administrative Region (CAR),CAR,Division of Baguio City,Baguio City,Watchman I,3,0,3,100
214,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Accountant I,1,0,1,100
215,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Accountant III,1,0,1,100
216,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Aide I,33,1,34,97.06
217,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Aide II,2,0,2,100
218,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Aide III,9,1,10,90
219,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Aide IV,13,0,13,100
220,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Aide VI,13,0,13,100
221,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Assistant I,1,0,1,100
222,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Assistant II,81,4,85,95.29
223,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Assistant III,64,1,65,98.46
224,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Officer I,11,0,11,100
225,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Officer II,246,3,249,98.8
226,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Officer III,1,1,2,50
227,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Officer IV,10,0,10,100
228,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Administrative Officer V,2,0,2,100
229,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Assistant School Principal II,3,0,3,100
230,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Attorney III,1,0,1,100
231,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Chief Education Supervisor,2,0,2,100
232,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Dentist II,3,0,3,100
233,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Education Program Specialist II,4,1,5,80
234,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Education Program Supervisor,11,0,11,100
235,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Engineer III,1,0,1,100
236,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Farm Worker I,3,1,4,75
237,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Guidance Counselor II,2,10,12,16.67
238,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Guidance Counselor III,7,3,10,70
239,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Head Teacher I,33,1,34,97.06
240,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Head Teacher II,9,0,9,100
241,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Head Teacher III,81,0,81,100
242,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Head Teacher IV,6,0,6,100
243,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Head Teacher V,3,0,3,100
244,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Head Teacher VI,3,0,3,100
245,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Information Technology Officer I,1,0,1,100
246,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Instructor I,1,0,1,100
247,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Librarian II,1,0,1,100
248,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Master Teacher I,251,2,253,99.21
249,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Master Teacher II,111,2,113,98.23
250,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Master Teacher III,2,0,2,100
251,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Medical Officer III,1,0,1,100
252,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Nurse II,43,0,43,100
253,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Planning Officer III,1,0,1,100
254,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Project Development Officer I,17,0,17,100
255,Cordillera Administrative Region (CAR),CAR,Division of Benguet,Benguet,Project Development Officer II,2,0,2,100
