Position Category,Position
General Civil Servant,Computer Maintenance Technologist I
Medical,Medical Officer IV
Allied Medical,Nutritionist-Dietitian II
Teaching,Education Program Supervisor
Teaching Related,Teaching-Aids Specialist
Teaching Related,Chief Education Supervisor
General Civil Servant,Planning Officer III
General Civil Servant,Statistician I
General Civil Servant,Dormitory Manager I
General Civil Servant,Dormitory Manager II
Teaching Related,Teacher Credentials Evaluator II
Teaching,Teacher III
Teaching,Teacher II
Teaching,Teacher I
Teaching,Special Education Teacher II
Teaching,Special Education Teacher III
Teaching,School Principal II
Teaching,School Principal III
Teaching,School Principal IV
Teaching,Special Education Teacher I
Teaching,Master Teacher II
Teaching,School Principal I
Teaching,Master Teacher I
Allied Medical,Dental Aide
Teaching,Head Teacher I
Teaching,Head Teacher III
Medical,Medical Officer III
Teaching Related,Schools Division Superintendent
Teaching Related,Assistant Schools Division Superintendent
General Civil Servant,Legal Assistant I
Teaching Related,Public Schools District Supervisor
General Civil Servant,Librarian I
Allied Medical,Nurse II
Allied Medical,Dentist II
Teaching Related,Registrar I
Teaching,Special Science Teacher I
Teaching,Assistant School Principal II
Teaching,Head Teacher II
Teaching,Head Teacher VI
Teaching,Head Teacher V
Teaching Related,Guidance Counselor III
Teaching,Head Teacher IV
Teaching Related,Guidance Counselor II
Teaching Related,School Librarian I
Teaching Related,Guidance Counselor I
General Civil Servant,Records Officer II
General Civil Servant,Human Resource Management Officer I
General Civil Servant,Security Guard II
Teaching Related,Guidance Coordinator III
Teaching Related,School Librarian III
General Civil Servant,Utility Foreman
Teaching Related,Assistant Special School Principal
General Civil Servant,Cook I
General Civil Servant,Houseparent I
General Civil Servant,Psychologist I
General Civil Servant,Social Welfare Officer I
Teaching Related,Registrar II
Teaching Related,Guidance Coordinator II
General Civil Servant,Driver I
General Civil Servant,Nurse Maid I
Teaching Related,Vocational Placement Coordinator I
Teaching Related,Special School Principal II
Allied Medical,Dentist I
General Civil Servant,Supply Officer I
General Civil Servant,Communications Equipment Operator II
General Civil Servant,Clerk III
Allied Medical,Nursing Attendant I
General Civil Servant,Reproduction Machine Operator I
Teaching Related,School Librarian II
General Civil Servant,Disbursing Officer II
Teaching,Crafts Education Demonstrator I
Teaching,Crafts Education Demonstrator II
Teaching Related,Guidance Coordinator I
General Civil Servant,Handicraft Worker I
General Civil Servant,Handicraft Worker II
Teaching,Instructor I
Teaching,Instructor II
General Civil Servant,Accounting Clerk II
General Civil Servant,Cashier I
General Civil Servant,Light Equipment Operator
General Civil Servant,Clerk II
General Civil Servant,Planning Officer II
Teaching,Master Teacher III
General Civil Servant,Communications Equipment Operator III
General Civil Servant,Farm Worker I
Teaching Related,School Farming Coordinator II
Teaching,School Farm Demonstrator
Allied Medical,Nurse I
General Civil Servant,Agriculturist I
General Civil Servant,Electronics and Communications Equipment Technician I
Teaching Related,School Farming Coordinator III
General Civil Servant,Utility Worker I
General Civil Servant,Fisherman
General Civil Servant,Master Fisherman I
General Civil Servant,Mechanical Plant Operator II
General Civil Servant,Telegram Carrier
General Civil Servant,Communications Equipment Operator I
General Civil Servant,Senior Bookkeeper
General Civil Servant,Heavy Equipment Operator I
General Civil Servant,Marine Engineman I
General Civil Servant,Director II
Teaching Related,Vocational School Administrator I
General Civil Servant,Laboratory Technician I
Medical,Medical Officer II
General Civil Servant,Lineman I
Teaching,Assistant School Principal III
General Civil Servant,Clerk I
Teaching Related,Vocational School Administrator III
Teaching,Assistant School Principal I
Allied Medical,Nurse II  (for abolition)
General Civil Servant,Administrative Assistant VI
General Civil Servant,Disbursing Officer I
General Civil Servant,Bookkeeper
General Civil Servant,Watchman II
Teaching,Special Education Teacher V
Teaching Related,Special School Principal I
Teaching Related,Guidance Services Specialist I
Teaching Related,Teacher Credentials Evaluator I
Teaching Related,College Librarian I
Teaching Related,College Librarian II
Teaching,Master Teacher IV
General Civil Servant,Coxswain
Teaching,Special Education Teacher IV
General Civil Servant,Communications Equipment Operator IV
General Civil Servant,Metal Worker I
Teaching,Special Science Teacher II
Teaching Related,School Farming Coordinator I
Allied Medical,Nutritionist-Dietitian I
General Civil Servant,Statistician Aide
General Civil Servant,Aquaculturist I
General Civil Servant,Agriculturist II
General Civil Servant,Mechanical Plant Operator I
General Civil Servant,Security Guard III
Teaching Related,Vocational School Administrator II
General Civil Servant,Mechanic I
